Flight_ID,Departure_Time,Arrival_Time,Actual_Departure_Time,Actual_Arrival_Time,Departure_Airport,Arrival_Airport,Flight_Distance,Aircraft_Type,Delayed,Wind_Speed,Weather,Loss_Cost
Flight39,2023-08-03 00:29:00,2023-08-03 07:01:00,2023-08-03 00:34:00.000,2023-08-03 07:06:00.000,AIR7,AIR5,401,A321,True,50,sunny,1830.0
Flight40,2023-04-15 13:16:00,2023-04-15 14:52:00,2023-04-15 13:16:30.000,2023-04-15 14:52:30.000,AIR7,AIR7,373,A340,True,5,sunny,179.0
Flight41,2023-08-29 00:05:00,2023-08-29 08:10:00,2023-08-29 00:09:30.000,2023-08-29 08:14:30.000,AIR4,AIR2,157,Boeing 737,True,45,sunny,1485.0
Flight42,2023-09-28 08:54:00,2023-09-28 11:54:00,2023-09-28 08:58:00.000,2023-09-28 11:58:00.000,AIR7,AIR4,210,A321,True,40,sunny,1496.0
Flight43,2023-11-30 20:57:00,2023-11-30 22:42:00,2023-11-30 21:01:12.000,2023-11-30 22:46:12.000,AIR1,AIR3,2410,A320,True,28,stormy,1167.6000000000001
Flight44,2023-08-05 18:53:00,2023-08-06 02:46:00,2023-08-05 18:55:51.000,2023-08-06 02:48:51.000,AIR7,AIR3,1358,Boeing 777,True,19,stormy,775.2
Flight45,2023-02-10 00:51:00,2023-02-10 09:43:00,2023-02-10 00:52:18.000,2023-02-10 09:44:18.000,AIR5,AIR9,1236,Boeing 777,True,13,sunny,434.2
Flight46,2023-04-17 08:06:00,2023-04-17 17:07:00,2023-04-17 08:09:18.000,2023-04-17 17:10:18.000,AIR6,AIR5,896,Boeing 777,True,33,sunny,1075.8
Flight47,2023-11-25 07:28:00,2023-11-25 13:30:00,2023-11-25 07:32:06.000,2023-11-25 13:34:06.000,AIR9,AIR8,2340,A380,True,41,sunny,1164.3999999999999
Flight48,2023-08-27 19:29:00,2023-08-28 01:14:00,2023-08-27 19:34:16.800,2023-08-28 01:19:16.800,AIR9,AIR3,2341,A320,True,44,rainy,1858.5600000000002
Flight49,2023-07-15 08:52:00,2023-07-15 15:04:00,2023-07-15 08:53:06.000,2023-07-15 15:05:06.000,AIR6,AIR6,1041,A321,True,11,sunny,294.8
Flight50,2023-02-08 06:52:00,2023-02-08 16:00:00,2023-02-08 06:52:30.000,2023-02-08 16:00:30.000,AIR9,AIR9,476,A319,True,5,sunny,137.0
Flight51,2023-04-17 02:21:00,2023-04-17 09:16:00,2023-04-17 02:27:54.000,2023-04-17 09:22:54.000,AIR0,AIR7,1290,Boeing 777,True,46,stormy,1407.6000000000001
Flight52,2023-05-29 01:32:00,2023-05-29 04:44:00,2023-05-29 01:33:19.200,2023-05-29 04:45:19.200,AIR2,AIR5,1515,Boeing 737,True,11,rainy,469.92
Flight53,2023-08-21 16:28:00,2023-08-22 01:15:00,2023-08-21 16:32:12.000,2023-08-22 01:19:12.000,AIR1,AIR7,2216,A321,True,28,stormy,957.6
Flight54,2023-11-10 14:23:00,2023-11-10 19:50:00,2023-11-10 14:25:51.000,2023-11-10 19:52:51.000,AIR9,AIR0,1917,Boeing 737,True,19,stormy,758.1
Flight55,2023-09-28 13:01:00,2023-09-28 20:50:00,2023-09-28 13:05:19.200,2023-09-28 20:54:19.200,AIR6,AIR9,1787,A319,True,36,rainy,1555.1999999999998
Flight56,2023-11-03 14:26:00,2023-11-03 16:04:00,2023-11-03 14:26:07.200,2023-11-03 16:04:07.200,AIR0,AIR6,1399,A319,True,1,rainy,36.96
Flight57,2023-12-08 01:57:00,2023-12-08 04:40:00,2023-12-08 01:57:28.800,2023-12-08 04:40:28.800,AIR9,AIR5,2306,A321,True,4,rainy,120.00000000000001
Flight58,2023-06-16 23:13:00,2023-06-17 06:54:00,2023-06-16 23:18:45.600,2023-06-17 06:59:45.600,AIR8,AIR7,373,Boeing 777,True,48,rainy,1751.0400000000002
Flight59,2023-05-18 08:57:00,2023-05-18 12:21:00,2023-05-18 08:59:24.000,2023-05-18 12:23:24.000,AIR9,AIR6,937,A319,True,24,sunny,643.1999999999999
Flight60,2023-01-31 09:29:00,2023-01-31 11:41:00,2023-01-31 09:32:27.000,2023-01-31 11:44:27.000,AIR1,AIR1,388,A380,True,23,stormy,1117.8
Flight61,2023-01-22 09:30:00,2023-01-22 12:09:00,2023-01-22 09:30:00.000,2023-01-22 12:09:00.000,AIR6,AIR8,1750,A320,False,0,stormy,0.0
Flight62,2023-03-25 01:15:00,2023-03-25 02:51:00,2023-03-25 01:21:54.000,2023-03-25 02:57:54.000,AIR7,AIR4,210,A319,True,46,stormy,2470.2000000000003
Flight63,2023-08-16 21:28:00,2023-08-17 03:09:00,2023-08-16 21:32:12.000,2023-08-17 03:13:12.000,AIR2,AIR9,847,A380,True,42,sunny,957.6
Flight64,2023-09-30 11:19:00,2023-09-30 16:15:00,2023-09-30 11:25:54.000,2023-09-30 16:21:54.000,AIR2,AIR6,2038,Boeing 737,True,46,stormy,1407.6000000000001
Flight65,2023-05-12 05:41:00,2023-05-12 10:37:00,2023-05-12 05:41:57.600,2023-05-12 10:37:57.600,AIR7,AIR6,353,A380,True,8,rainy,314.88000000000005
Flight66,2023-02-10 14:50:00,2023-02-10 20:42:00,2023-02-10 14:51:54.000,2023-02-10 20:43:54.000,AIR7,AIR7,373,A320,True,19,sunny,524.4
Flight67,2023-06-01 10:48:00,2023-06-01 13:07:00,2023-06-01 10:50:09.600,2023-06-01 13:09:09.600,AIR3,AIR0,1394,Boeing 737,True,18,rainy,431.99999999999994
Flight68,2023-10-27 15:18:00,2023-10-28 01:18:00,2023-10-27 15:22:06.000,2023-10-28 01:22:06.000,AIR7,AIR4,210,Boeing 737,True,41,sunny,1361.1999999999998
Flight69,2023-09-15 06:30:00,2023-09-15 08:03:00,2023-09-15 06:34:48.000,2023-09-15 08:07:48.000,AIR0,AIR2,888,A340,True,40,rainy,1248.0
Flight70,2023-01-26 10:02:00,2023-01-26 19:31:00,2023-01-26 10:09:30.000,2023-01-26 19:38:30.000,AIR3,AIR7,2062,A340,True,50,stormy,3000.0
Flight71,2023-09-03 23:38:00,2023-09-04 00:48:00,2023-09-03 23:40:09.600,2023-09-04 00:50:09.600,AIR3,AIR4,2443,Boeing 777,True,18,rainy,492.4799999999999
Flight72,2023-02-14 23:33:00,2023-02-15 06:41:00,2023-02-14 23:37:06.000,2023-02-15 06:45:06.000,AIR5,AIR2,413,A340,True,41,sunny,1246.3999999999999
Flight73,2023-09-05 00:30:00,2023-09-05 03:09:00,2023-09-05 00:31:04.800,2023-09-05 03:10:04.800,AIR3,AIR9,154,A319,True,9,rainy,231.11999999999998
Flight74,2023-09-12 21:46:00,2023-09-12 23:25:00,2023-09-12 21:50:04.800,2023-09-12 23:29:04.800,AIR4,AIR6,1427,A380,True,34,rainy,889.44
Flight75,2023-07-23 11:59:00,2023-07-23 17:57:00,2023-07-23 12:01:54.000,2023-07-23 17:59:54.000,AIR8,AIR4,2184,Boeing 737,True,29,sunny,1119.3999999999999
Flight76,2023-08-17 01:55:00,2023-08-17 03:37:00,2023-08-17 01:56:21.000,2023-08-17 03:38:21.000,AIR2,AIR4,687,Boeing 777,True,9,stormy,526.5
Flight77,2023-11-05 21:48:00,2023-11-06 00:51:00,2023-11-05 21:52:24.000,2023-11-06 00:55:24.000,AIR0,AIR2,888,A340,True,44,sunny,1522.4
Flight78,2023-10-30 11:59:00,2023-10-30 15:44:00,2023-10-30 12:04:16.800,2023-10-30 15:49:16.800,AIR3,AIR2,1730,A340,True,44,rainy,1077.1200000000001
Flight79,2023-11-09 08:59:00,2023-11-09 16:59:00,2023-11-09 09:03:21.000,2023-11-09 17:03:21.000,AIR6,AIR1,1374,A340,True,29,stormy,1096.1999999999998
Flight80,2023-12-23 12:39:00,2023-12-23 21:40:00,2023-12-23 12:39:07.200,2023-12-23 21:40:07.200,AIR5,AIR8,1903,A380,True,1,rainy,32.400000000000006
Flight81,2023-11-21 02:15:00,2023-11-21 07:25:00,2023-11-21 02:17:45.600,2023-11-21 07:27:45.600,AIR3,AIR0,1394,Boeing 737,True,23,rainy,839.04
Flight82,2023-05-14 04:32:00,2023-05-14 08:15:00,2023-05-14 04:35:24.000,2023-05-14 08:18:24.000,AIR7,AIR2,847,A319,True,34,sunny,816.0
Flight83,2023-05-01 12:21:00,2023-05-01 16:54:00,2023-05-01 12:27:09.000,2023-05-01 17:00:09.000,AIR9,AIR6,937,Boeing 737,True,41,stormy,2029.5000000000002
Flight84,2023-07-10 23:45:00,2023-07-11 01:17:00,2023-07-10 23:49:48.000,2023-07-11 01:21:48.000,AIR4,AIR7,1842,A380,True,32,stormy,1171.2
Flight85,2023-10-03 13:26:00,2023-10-03 23:01:00,2023-10-03 13:30:26.400,2023-10-03 23:05:26.400,AIR4,AIR4,817,A320,True,37,rainy,1243.1999999999998
Flight86,2023-02-14 08:52:00,2023-02-14 16:11:00,2023-02-14 08:54:18.000,2023-02-14 16:13:18.000,AIR1,AIR9,822,A319,True,23,sunny,519.8
Flight87,2023-02-06 03:06:00,2023-02-06 04:20:00,2023-02-06 03:06:36.000,2023-02-06 04:20:36.000,AIR2,AIR3,585,A320,True,4,stormy,148.79999999999998
Flight88,2023-04-03 01:58:00,2023-04-03 03:43:00,2023-04-03 01:59:39.000,2023-04-03 03:44:39.000,AIR2,AIR9,847,A320,True,11,stormy,415.79999999999995
Flight89,2023-07-04 23:53:00,2023-07-05 04:18:00,2023-07-04 23:53:21.600,2023-07-05 04:18:21.600,AIR8,AIR3,1389,A340,True,3,rainy,80.64000000000001
Flight90,2023-07-01 21:57:00,2023-07-02 06:27:00,2023-07-01 21:58:30.000,2023-07-02 06:28:30.000,AIR7,AIR7,373,Boeing 737,True,15,sunny,522.0
Flight91,2023-02-02 02:28:00,2023-02-02 07:33:00,2023-02-02 02:32:24.000,2023-02-02 07:37:24.000,AIR0,AIR4,2230,A320,True,44,sunny,1645.6000000000001
Flight92,2023-09-10 06:10:00,2023-09-10 10:47:00,2023-09-10 06:10:45.000,2023-09-10 10:47:45.000,AIR0,AIR2,888,A321,True,5,stormy,181.5
Flight93,2023-05-23 05:39:00,2023-05-23 13:00:00,2023-05-23 05:40:55.200,2023-05-23 13:01:55.200,AIR3,AIR9,154,A319,True,16,rainy,679.6800000000001
Flight94,2023-11-24 16:54:00,2023-11-24 22:46:00,2023-11-24 16:56:24.000,2023-11-24 22:48:24.000,AIR3,AIR7,2062,A320,True,20,rainy,552.0
Flight95,2023-08-11 15:19:00,2023-08-11 22:13:00,2023-08-11 15:23:54.000,2023-08-11 22:17:54.000,AIR8,AIR7,373,A320,True,49,sunny,1920.8000000000002
Flight96,2023-01-21 20:38:00,2023-01-22 02:13:00,2023-01-21 20:43:00.000,2023-01-22 02:18:00.000,AIR0,AIR2,888,A380,True,50,sunny,1850.0
Flight97,2023-12-24 10:47:00,2023-12-24 20:00:00,2023-12-24 10:49:42.000,2023-12-24 20:02:42.000,AIR0,AIR3,1613,A319,True,18,stormy,1058.4
Flight98,2023-08-03 00:38:00,2023-08-03 03:40:00,2023-08-03 00:39:12.000,2023-08-03 03:41:12.000,AIR8,AIR6,1428,A340,True,10,rainy,480.0
Flight99,2023-06-04 15:48:00,2023-06-04 23:01:00,2023-06-04 15:52:30.000,2023-06-04 23:05:30.000,AIR1,AIR8,2067,Boeing 777,True,30,stormy,1656.0
Flight100,2023-04-29 23:29:00,2023-04-30 06:32:00,2023-04-29 23:34:06.000,2023-04-30 06:37:06.000,AIR9,AIR1,446,A319,True,34,stormy,1897.1999999999998
Flight101,2023-05-29 03:56:00,2023-05-29 06:19:00,2023-05-29 03:56:07.200,2023-05-29 06:19:07.200,AIR1,AIR5,937,A380,True,1,rainy,27.6
Flight102,2023-01-08 08:25:00,2023-01-08 10:51:00,2023-01-08 08:31:45.000,2023-01-08 10:57:45.000,AIR8,AIR4,2184,A319,True,45,stormy,2578.5
Flight103,2023-01-18 10:51:00,2023-01-18 19:39:00,2023-01-18 10:54:24.000,2023-01-18 19:42:24.000,AIR2,AIR5,1515,A380,True,34,sunny,1332.8
Flight104,2023-10-18 03:17:00,2023-10-18 07:00:00,2023-10-18 03:17:43.200,2023-10-18 07:00:43.200,AIR0,AIR6,1399,A380,True,6,rainy,208.8
Flight105,2023-12-06 07:47:00,2023-12-06 15:45:00,2023-12-06 07:49:54.000,2023-12-06 15:47:54.000,AIR6,AIR0,1692,A320,True,29,sunny,1049.8
Flight106,2023-01-15 04:55:00,2023-01-15 09:10:00,2023-01-15 04:56:19.200,2023-01-15 09:11:19.200,AIR2,AIR2,426,A319,True,11,rainy,509.52000000000004
Flight107,2023-06-29 19:42:00,2023-06-29 21:44:00,2023-06-29 19:43:12.000,2023-06-29 21:45:12.000,AIR2,AIR5,1515,A319,True,10,rainy,273.59999999999997
Flight108,2023-11-20 22:00:00,2023-11-21 00:45:00,2023-11-20 22:05:45.600,2023-11-21 00:50:45.600,AIR9,AIR5,2306,A320,True,48,rainy,1624.3200000000002
Flight109,2023-10-28 12:06:00,2023-10-28 14:45:00,2023-10-28 12:07:12.000,2023-10-28 14:46:12.000,AIR0,AIR3,1613,A340,True,12,sunny,304.8
Flight110,2023-08-25 23:23:00,2023-08-26 06:36:00,2023-08-25 23:23:27.000,2023-08-26 06:36:27.000,AIR7,AIR4,210,A319,True,3,stormy,114.3
Flight111,2023-12-01 14:50:00,2023-12-01 23:35:00,2023-12-01 14:53:42.000,2023-12-01 23:38:42.000,AIR6,AIR6,1041,A380,True,37,sunny,991.6
Flight112,2023-09-01 23:19:00,2023-09-02 09:01:00,2023-09-01 23:21:30.000,2023-09-02 09:03:30.000,AIR6,AIR5,896,A319,True,25,sunny,885.0
Flight113,2023-06-04 19:47:00,2023-06-05 05:40:00,2023-06-04 19:51:36.000,2023-06-05 05:44:36.000,AIR0,AIR2,888,A321,True,46,sunny,1536.3999999999999
Flight114,2023-09-06 15:32:00,2023-09-06 19:13:00,2023-09-06 15:39:21.000,2023-09-06 19:20:21.000,AIR9,AIR8,2340,Boeing 737,True,49,stormy,1617.0
Flight115,2023-05-24 10:12:00,2023-05-24 13:53:00,2023-05-24 10:16:03.000,2023-05-24 13:57:03.000,AIR0,AIR8,1803,A319,True,27,stormy,1247.3999999999999
Flight116,2023-03-17 15:02:00,2023-03-17 17:05:00,2023-03-17 15:05:00.000,2023-03-17 17:08:00.000,AIR3,AIR3,1891,A319,True,25,rainy,1038.0
Flight117,2023-05-21 21:51:00,2023-05-22 07:38:00,2023-05-21 21:56:02.400,2023-05-22 07:43:02.400,AIR4,AIR0,774,A340,True,42,rainy,1522.08
Flight118,2023-10-20 11:00:00,2023-10-20 20:54:00,2023-10-20 11:04:55.200,2023-10-20 20:58:55.200,AIR8,AIR5,2288,A320,True,41,rainy,1505.52
Flight119,2023-12-16 04:41:00,2023-12-16 07:29:00,2023-12-16 04:42:18.000,2023-12-16 07:30:18.000,AIR4,AIR6,1427,Boeing 737,True,13,sunny,348.40000000000003
Flight120,2023-12-17 20:22:00,2023-12-18 01:32:00,2023-12-17 20:25:21.600,2023-12-18 01:35:21.600,AIR2,AIR0,469,Boeing 777,True,28,rainy,1061.76
Flight121,2023-05-15 21:52:00,2023-05-16 02:28:00,2023-05-15 21:55:50.400,2023-05-16 02:31:50.400,AIR9,AIR7,1247,A319,True,32,rainy,1044.48
Flight122,2023-04-27 18:20:00,2023-04-27 22:33:00,2023-04-27 18:23:14.400,2023-04-27 22:36:14.400,AIR7,AIR3,1358,A319,True,27,rainy,719.2800000000001
Flight123,2023-11-12 13:01:00,2023-11-12 19:58:00,2023-11-12 13:04:42.000,2023-11-12 20:01:42.000,AIR8,AIR1,1414,A320,True,37,sunny,888.0
Flight124,2023-01-19 07:11:00,2023-01-19 16:08:00,2023-01-19 07:11:09.000,2023-01-19 16:08:09.000,AIR5,AIR7,2441,A380,True,1,stormy,54.6
Flight125,2023-04-10 16:18:00,2023-04-11 00:35:00,2023-04-10 16:22:48.000,2023-04-11 00:39:48.000,AIR6,AIR2,694,A319,True,40,rainy,1046.3999999999999
Flight126,2023-10-26 10:43:00,2023-10-26 16:22:00,2023-10-26 10:47:19.200,2023-10-26 16:26:19.200,AIR2,AIR7,1512,A320,True,36,rainy,1581.12
Flight127,2023-10-16 02:58:00,2023-10-16 10:30:00,2023-10-16 02:58:00.000,2023-10-16 10:30:00.000,AIR2,AIR5,1515,A320,False,0,rainy,0.0
Flight128,2023-12-28 14:31:00,2023-12-28 21:58:00,2023-12-28 14:34:48.000,2023-12-28 22:01:48.000,AIR6,AIR6,1041,Boeing 777,True,38,sunny,798.0
Flight129,2023-01-02 00:11:00,2023-01-02 07:17:00,2023-01-02 00:15:39.000,2023-01-02 07:21:39.000,AIR0,AIR1,653,Boeing 777,True,31,stormy,1692.6000000000001
Flight130,2023-08-27 23:25:00,2023-08-28 04:40:00,2023-08-27 23:28:28.800,2023-08-28 04:43:28.800,AIR1,AIR0,305,Boeing 777,True,29,rainy,1016.16
Flight131,2023-05-15 04:53:00,2023-05-15 07:18:00,2023-05-15 04:56:54.000,2023-05-15 07:21:54.000,AIR3,AIR1,1775,A380,True,39,sunny,1060.8
Flight132,2023-07-30 05:39:00,2023-07-30 09:33:00,2023-07-30 05:39:43.200,2023-07-30 09:33:43.200,AIR5,AIR5,915,A320,True,6,rainy,178.56000000000003
Flight133,2023-06-02 07:47:00,2023-06-02 11:09:00,2023-06-02 07:48:48.000,2023-06-02 11:10:48.000,AIR1,AIR8,2067,Boeing 737,True,18,sunny,446.40000000000003
Flight134,2023-07-04 05:54:00,2023-07-04 09:24:00,2023-07-04 05:57:00.000,2023-07-04 09:27:00.000,AIR2,AIR1,2256,A320,True,25,rainy,864.0
Flight135,2023-06-17 22:34:00,2023-06-18 03:44:00,2023-06-17 22:38:30.000,2023-06-18 03:48:30.000,AIR4,AIR3,2446,A320,True,30,stormy,1251.0
Flight136,2023-07-26 14:23:00,2023-07-26 21:40:00,2023-07-26 14:27:55.200,2023-07-26 21:44:55.200,AIR3,AIR5,656,A321,True,41,rainy,1554.72
Flight137,2023-08-30 10:15:00,2023-08-30 15:56:00,2023-08-30 10:19:42.000,2023-08-30 16:00:42.000,AIR6,AIR5,896,A319,True,47,sunny,1541.6000000000001
Flight138,2023-04-21 08:49:00,2023-04-21 14:34:00,2023-04-21 08:51:48.000,2023-04-21 14:36:48.000,AIR0,AIR0,492,Boeing 777,True,28,sunny,963.1999999999999
Flight139,2023-12-25 09:38:00,2023-12-25 16:16:00,2023-12-25 09:39:19.200,2023-12-25 16:17:19.200,AIR8,AIR6,1428,Boeing 737,True,11,rainy,464.64000000000004
Flight140,2023-06-26 15:01:00,2023-06-26 17:43:00,2023-06-26 15:07:45.000,2023-06-26 17:49:45.000,AIR1,AIR4,1146,A319,True,45,stormy,1431.0
Flight141,2023-04-22 03:56:00,2023-04-22 07:02:00,2023-04-22 03:57:39.000,2023-04-22 07:03:39.000,AIR1,AIR2,2303,A320,True,11,stormy,498.29999999999995
Flight142,2023-12-17 10:40:00,2023-12-17 17:17:00,2023-12-17 10:40:36.000,2023-12-17 17:17:36.000,AIR3,AIR1,1775,A321,True,5,rainy,136.79999999999998
Flight143,2023-04-26 09:17:00,2023-04-26 15:04:00,2023-04-26 09:20:42.000,2023-04-26 15:07:42.000,AIR6,AIR8,1750,A380,True,37,sunny,784.4000000000001
Flight144,2023-08-21 12:36:00,2023-08-21 18:53:00,2023-08-21 12:40:00.000,2023-08-21 18:57:00.000,AIR0,AIR2,888,Boeing 737,True,40,sunny,1144.0
Flight145,2023-05-05 21:56:00,2023-05-06 03:51:00,2023-05-05 21:59:18.000,2023-05-06 03:54:18.000,AIR1,AIR5,937,Boeing 777,True,22,stormy,1194.6
Flight146,2023-07-04 20:20:00,2023-07-05 02:08:00,2023-07-04 20:20:54.000,2023-07-05 02:08:54.000,AIR5,AIR0,2387,A321,True,9,sunny,257.40000000000003
Flight147,2023-06-09 22:31:00,2023-06-10 00:58:00,2023-06-09 22:32:33.600,2023-06-10 00:59:33.600,AIR6,AIR9,1787,Boeing 777,True,13,rainy,586.56
Flight148,2023-03-15 11:19:00,2023-03-15 15:28:00,2023-03-15 11:20:39.000,2023-03-15 15:29:39.000,AIR3,AIR6,1087,A340,True,11,stormy,379.5
Flight149,2023-06-18 09:04:00,2023-06-18 16:43:00,2023-06-18 09:06:00.000,2023-06-18 16:45:00.000,AIR4,AIR0,774,A320,True,20,sunny,600.0
Flight150,2023-03-08 12:27:00,2023-03-08 15:55:00,2023-03-08 12:31:55.200,2023-03-08 15:59:55.200,AIR9,AIR0,1917,A319,True,41,rainy,1505.52
