scheduled_departure_time,scheduled_arrival_time,departure_airport,arrival_airport,weather,airline,temperature,visibility,wind_speed,wind_direction,aircraft_model,on_time
2022-01-01 17:00:00,2022-01-01 18:00:00,LAX,CDG,cloudy,WN,26,575,22.69760160550112,headwind,A320,False
2022-01-01 18:00:00,2022-01-01 20:00:00,JFK,LHR,rainy,WN,-1,1590,35.564825823493216,crosswind,A321,False
2022-01-01 19:00:00,2022-01-02 00:00:00,LAX,HND,rainy,DL,23,1475,34.743549465933576,crosswind,B757,False
2022-01-01 20:00:00,2022-01-02 00:00:00,JFK,PEK,cloudy,UA,21,361,-0.9680151627111586,tailwind,B787,False
2022-01-01 21:00:00,2022-01-01 22:00:00,LAX,PEK,cloudy,AA,1,1120,31.82012513806982,headwind,B777,False
2022-01-01 22:00:00,2022-01-02 02:00:00,LAX,LHR,rainy,DL,22,540,13.043615981161443,tailwind,A321,False
2022-01-01 23:00:00,2022-01-02 00:00:00,DFW,HND,sunny,DL,8,1809,30.259702669849993,crosswind,A319,False
2022-01-02 00:00:00,2022-01-02 03:00:00,LAX,CDG,sunny,UA,14,1857,18.413206019894158,crosswind,B777,True
2022-01-02 01:00:00,2022-01-02 05:00:00,DFW,PEK,cloudy,DL,14,465,-1.567762949989398,tailwind,A320,False
2022-01-02 02:00:00,2022-01-02 03:00:00,ORD,CDG,rainy,UA,27,831,20.86667219305346,crosswind,A350,False
2022-01-02 03:00:00,2022-01-02 05:00:00,ORD,HND,cloudy,UA,9,394,27.279580759414664,headwind,A320,False
2022-01-02 04:00:00,2022-01-02 08:00:00,ORD,CDG,rainy,WN,28,1856,26.107953640771704,crosswind,A350,False
2022-01-02 05:00:00,2022-01-02 09:00:00,JFK,PEK,rainy,AA,6,707,14.727263887772388,headwind,B787,False
2022-01-02 06:00:00,2022-01-02 10:00:00,LAX,PEK,cloudy,AA,8,1451,15.565556321917054,tailwind,B777,True
2022-01-02 07:00:00,2022-01-02 08:00:00,LAX,HND,sunny,AA,25,455,40.20027735425829,crosswind,B767,False
2022-01-02 08:00:00,2022-01-02 10:00:00,ORD,CDG,sunny,DL,5,590,15.328629852388099,crosswind,B787,False
2022-01-02 09:00:00,2022-01-02 11:00:00,DFW,HND,cloudy,DL,0,1211,13.609106251096035,tailwind,B757,True
2022-01-02 10:00:00,2022-01-02 12:00:00,ORD,PEK,cloudy,UA,23,806,35.758403914497,headwind,B787,False
2022-01-02 11:00:00,2022-01-02 12:00:00,JFK,LHR,rainy,DL,17,683,34.613062174272336,headwind,B747,False
2022-01-02 12:00:00,2022-01-02 15:00:00,JFK,PEK,cloudy,UA,21,663,25.979441190335237,crosswind,A380,False
2022-01-02 13:00:00,2022-01-02 18:00:00,ORD,PEK,rainy,DL,17,288,18.502289371609475,crosswind,A330,False
2022-01-02 14:00:00,2022-01-02 18:00:00,JFK,HND,cloudy,UA,15,942,3.428669667153314,tailwind,A350,True
2022-01-02 15:00:00,2022-01-02 19:00:00,JFK,PEK,cloudy,DL,-1,355,21.25723389767511,tailwind,A320,False
2022-01-02 16:00:00,2022-01-02 19:00:00,JFK,HND,cloudy,DL,11,1025,20.620360532816015,tailwind,A380,False
2022-01-02 17:00:00,2022-01-02 22:00:00,ORD,PEK,cloudy,WN,7,480,20.13135608561167,crosswind,B767,False
2022-01-02 18:00:00,2022-01-02 21:00:00,ORD,HND,rainy,AA,-5,286,28.20720727441318,headwind,B777,False
2022-01-02 19:00:00,2022-01-02 20:00:00,ORD,HND,rainy,WN,27,705,13.547410939462715,headwind,A380,False
2022-01-02 20:00:00,2022-01-02 21:00:00,LAX,PEK,sunny,WN,-5,1695,23.82720291908184,headwind,A320,False
2022-01-02 21:00:00,2022-01-03 02:00:00,DFW,HND,rainy,UA,-5,1490,4.776451540345049,tailwind,B777,False
2022-01-02 22:00:00,2022-01-02 23:00:00,ORD,CDG,sunny,AA,24,1634,10.432308040045228,headwind,B757,True
2022-01-02 23:00:00,2022-01-03 04:00:00,ORD,PEK,cloudy,DL,2,458,-0.8066446968349417,tailwind,B787,False
2022-01-03 00:00:00,2022-01-03 02:00:00,ORD,PEK,rainy,UA,7,1481,32.89996737648357,headwind,B737,False
2022-01-03 01:00:00,2022-01-03 06:00:00,DFW,HND,sunny,WN,12,1538,22.205543170400823,crosswind,A330,False
2022-01-03 02:00:00,2022-01-03 04:00:00,LAX,CDG,rainy,WN,11,934,0.5451226419374855,tailwind,A380,False
2022-01-03 03:00:00,2022-01-03 06:00:00,JFK,PEK,cloudy,AA,24,1885,13.336166911184298,tailwind,B737,True
2022-01-03 04:00:00,2022-01-03 07:00:00,ORD,HND,cloudy,AA,24,396,30.40484577811587,headwind,A321,False
2022-01-03 05:00:00,2022-01-03 06:00:00,DFW,CDG,cloudy,AA,26,779,13.071460149900549,tailwind,A319,True
2022-01-03 06:00:00,2022-01-03 08:00:00,ORD,HND,rainy,WN,2,898,18.605904185873364,tailwind,A321,False
2022-01-03 07:00:00,2022-01-03 09:00:00,ORD,HND,sunny,DL,17,1471,32.840040270616775,crosswind,A319,False
2022-01-03 08:00:00,2022-01-03 10:00:00,ORD,LHR,cloudy,AA,17,1173,30.99875931668411,headwind,B737,False
2022-01-03 09:00:00,2022-01-03 11:00:00,LAX,HND,rainy,WN,-5,1350,37.94334065147811,crosswind,B787,False
2022-01-03 10:00:00,2022-01-03 14:00:00,JFK,CDG,sunny,AA,2,787,23.877472738536632,crosswind,A350,False
2022-01-03 11:00:00,2022-01-03 15:00:00,DFW,PEK,rainy,UA,-6,1766,30.404557333904744,crosswind,A321,False
2022-01-03 12:00:00,2022-01-03 15:00:00,JFK,CDG,cloudy,AA,10,1949,18.756134572182287,tailwind,A320,True
2022-01-03 13:00:00,2022-01-03 17:00:00,LAX,PEK,rainy,WN,-8,486,5.335323304350528,tailwind,A321,False
2022-01-03 14:00:00,2022-01-03 15:00:00,LAX,PEK,rainy,DL,14,1025,27.658091756748213,headwind,B757,False
2022-01-03 15:00:00,2022-01-03 19:00:00,LAX,LHR,sunny,UA,5,1226,15.061453216863178,crosswind,A319,True
2022-01-03 16:00:00,2022-01-03 21:00:00,LAX,PEK,sunny,AA,7,1916,18.89606464944005,tailwind,A330,True
2022-01-03 17:00:00,2022-01-03 19:00:00,LAX,HND,cloudy,UA,20,960,12.228605693757206,tailwind,B747,True
2022-01-03 18:00:00,2022-01-03 21:00:00,LAX,PEK,sunny,UA,3,528,16.33810249130653,crosswind,A380,False
2022-01-03 19:00:00,2022-01-04 00:00:00,ORD,HND,rainy,WN,15,1374,-4.723861228827477,tailwind,A319,False
2022-01-03 20:00:00,2022-01-04 00:00:00,LAX,CDG,cloudy,UA,18,527,20.936272720809132,crosswind,B787,False
2022-01-03 21:00:00,2022-01-04 02:00:00,ORD,LHR,rainy,DL,5,429,18.163385415071502,crosswind,A330,False
2022-01-03 22:00:00,2022-01-04 03:00:00,JFK,PEK,cloudy,AA,-6,386,16.69689733650817,headwind,A380,False
2022-01-03 23:00:00,2022-01-04 04:00:00,JFK,CDG,cloudy,WN,-10,1602,11.890928311626457,tailwind,A321,True
2022-01-04 00:00:00,2022-01-04 04:00:00,JFK,HND,sunny,AA,24,1271,13.141093881229187,headwind,A380,True
2022-01-04 01:00:00,2022-01-04 06:00:00,ORD,PEK,cloudy,UA,6,1258,27.344861545005696,crosswind,A320,False
2022-01-04 02:00:00,2022-01-04 07:00:00,DFW,LHR,sunny,UA,24,1467,37.03618253720626,headwind,B777,False
2022-01-04 03:00:00,2022-01-04 08:00:00,DFW,LHR,cloudy,AA,-1,549,10.3616168261429,headwind,A350,False
2022-01-04 04:00:00,2022-01-04 05:00:00,DFW,CDG,rainy,WN,-5,1269,14.1969542468381,crosswind,A319,False
2022-01-04 05:00:00,2022-01-04 10:00:00,DFW,CDG,sunny,WN,-1,1773,7.410043529778699,tailwind,B767,True
2022-01-04 06:00:00,2022-01-04 10:00:00,JFK,LHR,cloudy,WN,-4,1875,18.45636423338273,crosswind,A320,True
2022-01-04 07:00:00,2022-01-04 10:00:00,LAX,CDG,cloudy,AA,-8,287,19.909586292828706,headwind,B757,False
2022-01-04 08:00:00,2022-01-04 09:00:00,ORD,CDG,rainy,WN,-10,1369,23.597910769423024,tailwind,B787,False
2022-01-04 09:00:00,2022-01-04 11:00:00,JFK,PEK,cloudy,AA,23,234,26.554320721671576,crosswind,A330,False
2022-01-04 10:00:00,2022-01-04 12:00:00,JFK,LHR,cloudy,DL,22,1808,13.227447658126607,headwind,B747,True
2022-01-04 11:00:00,2022-01-04 15:00:00,LAX,HND,rainy,UA,15,1581,7.7953674099929815,headwind,A380,False
2022-01-04 12:00:00,2022-01-04 13:00:00,DFW,CDG,rainy,DL,-9,240,25.682523704273244,headwind,B787,False
2022-01-04 13:00:00,2022-01-04 14:00:00,JFK,PEK,sunny,DL,29,771,11.120277738347056,headwind,B767,True
2022-01-04 14:00:00,2022-01-04 16:00:00,ORD,PEK,cloudy,WN,28,1074,22.23324342145981,headwind,B737,False
2022-01-04 15:00:00,2022-01-04 18:00:00,LAX,PEK,sunny,WN,15,1940,7.504963829541713,headwind,B757,True
2022-01-04 16:00:00,2022-01-04 21:00:00,JFK,LHR,rainy,WN,-10,306,7.720057180921967,tailwind,B747,False
2022-01-04 17:00:00,2022-01-04 20:00:00,JFK,PEK,sunny,WN,14,471,29.694080815521694,crosswind,A380,False
2022-01-04 18:00:00,2022-01-04 19:00:00,LAX,CDG,rainy,WN,18,1425,21.06198439956139,crosswind,B787,False
2022-01-04 19:00:00,2022-01-04 23:00:00,LAX,LHR,rainy,AA,-2,510,26.026072425041757,headwind,B737,False
2022-01-04 20:00:00,2022-01-04 23:00:00,LAX,PEK,rainy,AA,17,1916,14.182635114606574,tailwind,B737,False
2022-01-04 21:00:00,2022-01-05 00:00:00,DFW,HND,cloudy,AA,-3,1294,24.59595043079555,crosswind,A330,False
2022-01-04 22:00:00,2022-01-04 23:00:00,LAX,LHR,rainy,AA,29,740,17.496730097417252,tailwind,A350,False
2022-01-04 23:00:00,2022-01-05 01:00:00,DFW,PEK,rainy,AA,-7,729,39.641699928340635,crosswind,A350,False
2022-01-05 00:00:00,2022-01-05 01:00:00,DFW,CDG,cloudy,UA,26,1634,12.340347000853084,tailwind,B737,True
2022-01-05 01:00:00,2022-01-05 04:00:00,LAX,PEK,rainy,AA,-1,1631,37.8621552985183,crosswind,A330,False
2022-01-05 02:00:00,2022-01-05 05:00:00,DFW,PEK,rainy,WN,14,1160,42.28198733181411,crosswind,B767,False
2022-01-05 03:00:00,2022-01-05 07:00:00,DFW,HND,rainy,AA,28,1260,28.616169267137977,headwind,A321,False
2022-01-05 04:00:00,2022-01-05 07:00:00,DFW,CDG,cloudy,UA,12,1581,17.162889160800194,tailwind,A380,True
2022-01-05 05:00:00,2022-01-05 09:00:00,JFK,LHR,sunny,DL,-7,418,19.216521626838045,headwind,B767,False
2022-01-05 06:00:00,2022-01-05 09:00:00,ORD,LHR,cloudy,AA,-2,932,25.903736000356368,headwind,B737,False
2022-01-05 07:00:00,2022-01-05 09:00:00,LAX,CDG,sunny,WN,10,1545,12.360477949322583,headwind,A330,True
2022-01-05 08:00:00,2022-01-05 11:00:00,ORD,LHR,cloudy,UA,18,1277,23.227921427291662,headwind,A330,False
2022-01-05 09:00:00,2022-01-05 13:00:00,JFK,HND,sunny,WN,2,1945,11.860143503151859,crosswind,A320,True
2022-01-05 10:00:00,2022-01-05 14:00:00,ORD,CDG,cloudy,AA,5,312,14.513185189922178,headwind,B787,False
2022-01-05 11:00:00,2022-01-05 15:00:00,ORD,LHR,rainy,UA,15,358,9.17995049994392,headwind,A319,False
2022-01-05 12:00:00,2022-01-05 15:00:00,ORD,PEK,sunny,AA,-6,962,8.069802853175275,headwind,B787,True
2022-01-05 13:00:00,2022-01-05 17:00:00,DFW,HND,rainy,WN,13,710,21.458645522972933,headwind,A330,False
2022-01-05 14:00:00,2022-01-05 19:00:00,JFK,HND,cloudy,UA,17,1302,25.81717054982255,crosswind,B737,False
2022-01-05 15:00:00,2022-01-05 17:00:00,LAX,HND,rainy,AA,6,1195,19.479356336680468,headwind,B767,False
2022-01-05 16:00:00,2022-01-05 19:00:00,LAX,HND,sunny,AA,27,1170,23.17633872074422,crosswind,B737,False
2022-01-05 17:00:00,2022-01-05 21:00:00,LAX,LHR,sunny,WN,9,1786,29.8244040292546,headwind,B777,False
2022-01-05 18:00:00,2022-01-05 20:00:00,DFW,LHR,sunny,UA,7,1009,18.027801592021024,headwind,A320,True
2022-01-05 19:00:00,2022-01-05 22:00:00,ORD,LHR,rainy,AA,26,919,42.5120475284533,crosswind,A320,False
2022-01-05 20:00:00,2022-01-05 22:00:00,JFK,PEK,rainy,DL,18,841,14.619062330947148,crosswind,B787,False
2022-01-05 21:00:00,2022-01-06 02:00:00,JFK,HND,sunny,DL,27,1248,6.089953845259046,tailwind,B747,True
2022-01-05 22:00:00,2022-01-06 01:00:00,JFK,PEK,sunny,AA,9,335,30.83218132533127,headwind,A380,False
2022-01-05 23:00:00,2022-01-06 03:00:00,DFW,PEK,cloudy,WN,4,278,20.445323618825796,crosswind,B747,False
2022-01-06 00:00:00,2022-01-06 01:00:00,DFW,LHR,cloudy,WN,26,1058,18.2125268055697,headwind,B777,True
2022-01-06 01:00:00,2022-01-06 05:00:00,JFK,CDG,rainy,UA,15,1865,-0.9861636657690931,tailwind,B767,False
2022-01-06 02:00:00,2022-01-06 05:00:00,ORD,CDG,cloudy,AA,14,1951,13.240694430136603,headwind,B747,True
2022-01-06 03:00:00,2022-01-06 07:00:00,ORD,PEK,rainy,WN,-7,308,3.052183860397252,tailwind,B757,False
2022-01-06 04:00:00,2022-01-06 05:00:00,LAX,CDG,sunny,WN,10,336,23.009287100739837,crosswind,B737,False
2022-01-06 05:00:00,2022-01-06 06:00:00,DFW,HND,sunny,AA,8,605,31.91381100335512,crosswind,B777,False
2022-01-06 06:00:00,2022-01-06 07:00:00,JFK,HND,cloudy,DL,18,1803,29.34233293642751,headwind,A330,False
2022-01-06 07:00:00,2022-01-06 11:00:00,DFW,HND,rainy,DL,-2,1242,11.537713483694018,tailwind,B737,False
2022-01-06 08:00:00,2022-01-06 11:00:00,JFK,LHR,cloudy,UA,29,1768,24.54562090841081,headwind,A319,False
2022-01-06 09:00:00,2022-01-06 13:00:00,ORD,HND,cloudy,DL,4,1210,22.226155767856337,headwind,B737,False
2022-01-06 10:00:00,2022-01-06 11:00:00,DFW,LHR,cloudy,DL,23,1578,8.589790591383952,tailwind,B747,True
2022-01-06 11:00:00,2022-01-06 16:00:00,LAX,HND,rainy,DL,14,1237,11.17476740701306,headwind,A330,False
2022-01-06 12:00:00,2022-01-06 13:00:00,LAX,LHR,rainy,UA,15,1233,23.55830655555406,headwind,B737,False
2022-01-06 13:00:00,2022-01-06 14:00:00,LAX,LHR,cloudy,AA,8,1202,26.123731108260174,crosswind,A321,False
2022-01-06 14:00:00,2022-01-06 17:00:00,DFW,HND,cloudy,DL,-7,1668,31.342724149739148,crosswind,A321,False
2022-01-06 15:00:00,2022-01-06 19:00:00,LAX,LHR,rainy,WN,13,587,18.65527506581709,tailwind,B757,False
2022-01-06 16:00:00,2022-01-06 19:00:00,DFW,CDG,rainy,DL,24,1149,41.29277219653014,crosswind,B737,False
2022-01-06 17:00:00,2022-01-06 21:00:00,DFW,CDG,cloudy,UA,10,1077,8.89783664108946,tailwind,A380,True
2022-01-06 18:00:00,2022-01-06 19:00:00,LAX,PEK,sunny,WN,20,1840,32.28021870906871,crosswind,B777,False
2022-01-06 19:00:00,2022-01-06 20:00:00,LAX,PEK,sunny,DL,15,1372,17.173949673571975,headwind,A320,True
2022-01-06 20:00:00,2022-01-06 21:00:00,ORD,PEK,cloudy,WN,26,1592,37.9043852258224,headwind,B787,False
2022-01-06 21:00:00,2022-01-07 01:00:00,ORD,PEK,rainy,DL,7,1012,-4.483008913809907,tailwind,B787,False
2022-01-06 22:00:00,2022-01-06 23:00:00,JFK,HND,sunny,WN,11,1352,9.60080685065747,tailwind,B757,True
2022-01-06 23:00:00,2022-01-07 02:00:00,ORD,PEK,cloudy,AA,-6,820,14.928677760520557,headwind,B767,True
2022-01-07 00:00:00,2022-01-07 03:00:00,DFW,LHR,cloudy,WN,23,1392,12.18090232413686,headwind,A320,True
2022-01-07 01:00:00,2022-01-07 02:00:00,JFK,CDG,rainy,WN,-3,302,20.64853898126174,tailwind,A321,False
2022-01-07 02:00:00,2022-01-07 07:00:00,DFW,CDG,sunny,UA,25,915,19.057197286683103,tailwind,B737,True
2022-01-07 03:00:00,2022-01-07 07:00:00,LAX,HND,cloudy,UA,-2,1992,13.0852395985511,crosswind,B777,True
2022-01-07 04:00:00,2022-01-07 09:00:00,ORD,PEK,cloudy,DL,-5,1917,23.817219001881952,headwind,B737,False
2022-01-07 05:00:00,2022-01-07 06:00:00,DFW,PEK,rainy,DL,-3,1298,20.49117297512444,headwind,A321,False
2022-01-07 06:00:00,2022-01-07 11:00:00,LAX,PEK,sunny,AA,24,1930,22.166180971113448,headwind,B757,False
2022-01-07 07:00:00,2022-01-07 11:00:00,DFW,LHR,cloudy,AA,14,217,25.98852800489302,crosswind,B787,False
2022-01-07 08:00:00,2022-01-07 12:00:00,ORD,HND,cloudy,AA,-9,751,16.29878890787538,headwind,B747,True
2022-01-07 09:00:00,2022-01-07 14:00:00,DFW,LHR,rainy,WN,23,1165,23.806973525233158,headwind,B737,False
2022-01-07 10:00:00,2022-01-07 12:00:00,ORD,LHR,cloudy,WN,17,1233,11.664147305620515,headwind,A330,True
2022-01-07 11:00:00,2022-01-07 15:00:00,DFW,HND,rainy,WN,-5,913,4.036666781971346,tailwind,B737,False
2022-01-07 12:00:00,2022-01-07 13:00:00,JFK,LHR,sunny,UA,7,355,14.30398630910878,tailwind,A320,False
2022-01-07 13:00:00,2022-01-07 14:00:00,ORD,HND,cloudy,UA,25,1990,13.972086651054951,tailwind,B767,True
2022-01-07 14:00:00,2022-01-07 15:00:00,LAX,PEK,cloudy,UA,17,1772,36.276306859995145,crosswind,A320,False
2022-01-07 15:00:00,2022-01-07 17:00:00,ORD,LHR,sunny,WN,21,1588,33.00007534861615,crosswind,A380,False
2022-01-07 16:00:00,2022-01-07 17:00:00,DFW,HND,rainy,AA,4,354,34.46210745724167,crosswind,B767,False
2022-01-07 17:00:00,2022-01-07 22:00:00,DFW,LHR,rainy,WN,2,1738,31.702687342424596,headwind,A321,False
2022-01-07 18:00:00,2022-01-07 20:00:00,LAX,CDG,cloudy,WN,15,249,1.3408673562538374,tailwind,A330,False
2022-01-07 19:00:00,2022-01-07 23:00:00,JFK,LHR,sunny,AA,25,1470,-1.0076243852835427,tailwind,A320,True
2022-01-07 20:00:00,2022-01-07 22:00:00,ORD,PEK,cloudy,DL,-2,1418,25.041429751814164,crosswind,B737,False
2022-01-07 21:00:00,2022-01-07 22:00:00,ORD,LHR,sunny,DL,3,473,16.545285574413064,headwind,A380,False
2022-01-07 22:00:00,2022-01-07 23:00:00,DFW,PEK,cloudy,WN,9,832,37.14290751372125,crosswind,B757,False
2022-01-07 23:00:00,2022-01-08 04:00:00,ORD,CDG,cloudy,DL,2,1840,31.339160407736387,headwind,B787,False
2022-01-08 00:00:00,2022-01-08 04:00:00,ORD,LHR,rainy,DL,4,1121,6.104235625508754,tailwind,B777,False
2022-01-08 01:00:00,2022-01-08 05:00:00,JFK,LHR,sunny,AA,-8,417,6.724470524833287,tailwind,B787,False
2022-01-08 02:00:00,2022-01-08 04:00:00,ORD,LHR,sunny,WN,29,224,17.995740217459105,headwind,A319,False
2022-01-08 03:00:00,2022-01-08 04:00:00,ORD,CDG,sunny,DL,23,811,30.032973147738602,crosswind,B747,False
2022-01-08 04:00:00,2022-01-08 05:00:00,LAX,CDG,rainy,DL,8,1696,25.36315285516985,headwind,A330,False
2022-01-08 05:00:00,2022-01-08 07:00:00,JFK,LHR,cloudy,UA,20,1523,41.96650691764964,crosswind,B737,False
2022-01-08 06:00:00,2022-01-08 09:00:00,DFW,PEK,rainy,DL,-3,1175,20.38347945100078,crosswind,B787,False
2022-01-08 07:00:00,2022-01-08 08:00:00,ORD,PEK,rainy,AA,2,1521,5.545621787919676,tailwind,A320,False
2022-01-08 08:00:00,2022-01-08 12:00:00,DFW,HND,sunny,DL,3,1921,15.877662208477417,tailwind,B737,True
2022-01-08 09:00:00,2022-01-08 11:00:00,ORD,HND,cloudy,WN,4,1965,40.292493478983275,crosswind,B767,False
2022-01-08 10:00:00,2022-01-08 12:00:00,DFW,CDG,rainy,UA,10,1401,-0.4194435558508798,tailwind,B767,False
2022-01-08 11:00:00,2022-01-08 16:00:00,JFK,PEK,cloudy,WN,9,1298,15.78338079856205,crosswind,A330,True
2022-01-08 12:00:00,2022-01-08 13:00:00,ORD,CDG,cloudy,WN,3,344,10.63412129146516,tailwind,A319,False
2022-01-08 13:00:00,2022-01-08 14:00:00,DFW,CDG,rainy,UA,-2,1779,21.609606491762847,tailwind,B757,False
2022-01-08 14:00:00,2022-01-08 18:00:00,DFW,CDG,rainy,WN,8,1551,29.196777766862645,crosswind,A321,False
2022-01-08 15:00:00,2022-01-08 18:00:00,DFW,HND,rainy,AA,-9,1974,13.378224005414095,tailwind,B787,False
2022-01-08 16:00:00,2022-01-08 20:00:00,JFK,CDG,cloudy,DL,4,1951,7.2076655194981445,headwind,B777,True
2022-01-08 17:00:00,2022-01-08 20:00:00,LAX,HND,cloudy,AA,-6,734,20.109671211864438,headwind,A321,False
2022-01-08 18:00:00,2022-01-08 23:00:00,JFK,LHR,cloudy,UA,0,806,36.396008442602664,crosswind,B777,False
2022-01-08 19:00:00,2022-01-08 23:00:00,JFK,LHR,sunny,DL,24,1376,11.109600703358687,headwind,A330,True
2022-01-08 20:00:00,2022-01-09 00:00:00,ORD,CDG,cloudy,UA,28,1669,36.09120237598358,crosswind,B757,False
2022-01-08 21:00:00,2022-01-08 22:00:00,JFK,HND,sunny,DL,28,1123,37.37987453208635,crosswind,A320,False
2022-01-08 22:00:00,2022-01-09 02:00:00,DFW,LHR,rainy,WN,24,1359,23.319686659429948,headwind,A320,False
2022-01-08 23:00:00,2022-01-09 00:00:00,LAX,CDG,rainy,UA,11,1620,20.97920426912359,headwind,A330,False
2022-01-09 00:00:00,2022-01-09 05:00:00,JFK,LHR,cloudy,DL,-1,1701,24.27011784186269,headwind,B767,False
2022-01-09 01:00:00,2022-01-09 04:00:00,LAX,CDG,rainy,AA,27,1040,34.02408501802097,crosswind,B757,False
2022-01-09 02:00:00,2022-01-09 06:00:00,ORD,CDG,cloudy,WN,-8,1650,24.56727702233247,crosswind,B737,False
2022-01-09 03:00:00,2022-01-09 08:00:00,LAX,HND,cloudy,UA,10,526,1.4856509497650405,tailwind,A380,False
2022-01-09 04:00:00,2022-01-09 05:00:00,JFK,HND,sunny,UA,8,1583,41.652272427268855,crosswind,A380,False
2022-01-09 05:00:00,2022-01-09 08:00:00,DFW,PEK,cloudy,WN,-5,1758,3.683956125601908,tailwind,A330,True
2022-01-09 06:00:00,2022-01-09 10:00:00,JFK,HND,cloudy,AA,5,300,20.563452543032824,tailwind,B757,False
2022-01-09 07:00:00,2022-01-09 11:00:00,LAX,HND,sunny,AA,16,1648,33.05583631016134,headwind,A380,False
2022-01-09 08:00:00,2022-01-09 10:00:00,LAX,LHR,cloudy,UA,8,243,26.83724868032326,headwind,B747,False
2022-01-09 09:00:00,2022-01-09 13:00:00,JFK,PEK,rainy,WN,-8,1702,17.553832196741407,headwind,A320,False
2022-01-09 10:00:00,2022-01-09 15:00:00,JFK,LHR,sunny,DL,23,1935,34.09346961447477,crosswind,A319,False
2022-01-09 11:00:00,2022-01-09 15:00:00,JFK,CDG,rainy,AA,3,822,19.368710030060345,headwind,A380,False
2022-01-09 12:00:00,2022-01-09 16:00:00,JFK,HND,sunny,DL,12,1726,22.80590540305682,crosswind,B757,False
2022-01-09 13:00:00,2022-01-09 15:00:00,LAX,HND,cloudy,WN,5,767,35.33267928052507,crosswind,B757,False
2022-01-09 14:00:00,2022-01-09 16:00:00,JFK,CDG,cloudy,DL,19,1002,10.163901618131813,headwind,A330,True
2022-01-09 15:00:00,2022-01-09 17:00:00,DFW,PEK,cloudy,AA,-4,877,19.600348495988737,crosswind,B757,True
2022-01-09 16:00:00,2022-01-09 20:00:00,LAX,CDG,cloudy,UA,8,1330,13.592572702372497,headwind,B757,True
2022-01-09 17:00:00,2022-01-09 20:00:00,ORD,LHR,rainy,AA,20,1472,27.083673838221777,crosswind,B777,False
2022-01-09 18:00:00,2022-01-09 21:00:00,DFW,PEK,rainy,DL,13,1040,12.075291357981719,tailwind,B787,False
2022-01-09 19:00:00,2022-01-10 00:00:00,JFK,LHR,sunny,DL,28,1092,6.177620957204756,tailwind,B767,True
2022-01-09 20:00:00,2022-01-10 00:00:00,DFW,LHR,cloudy,WN,18,1572,21.840409878388904,tailwind,A350,False
2022-01-09 21:00:00,2022-01-09 23:00:00,LAX,CDG,cloudy,WN,-1,1353,3.876895397574936,tailwind,B747,True
2022-01-09 22:00:00,2022-01-10 01:00:00,JFK,HND,cloudy,AA,1,1263,44.357789539471966,crosswind,A319,False
2022-01-09 23:00:00,2022-01-10 03:00:00,DFW,HND,sunny,DL,16,1090,2.538919618389654,tailwind,B767,True
2022-01-10 00:00:00,2022-01-10 02:00:00,DFW,LHR,cloudy,DL,18,1626,21.692178475910097,tailwind,B747,False
